shop_name,shop_url,review_text
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,平日のランチブッフェに行きました。店内は広々していて、テーブルもイスも大きめで、ゆったり過ごせました。季節の料理がメインで、楽しく選ぶことができ、あまり混んでいなかったからか、並ぶこと...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,GW中にレストラン利用のみで訪問。ホテルの中にあるため、エントランス、トイレなどを含めて全体的に綺麗で快適。今年はどうやら5周年の模様。料理の品数は可もなく不可もなく感じるが、一つ一つ丁寧...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,素敵なレストランでした️ライブキッチンでローストビーフとスープを頂けました。海鮮も置いてあり自由に丼が作れます。料理も充実していてとても良かったです。デザートにフルーツやケーキ...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,この日は早朝から丸一日展示会を回る予定にしていたこともあって、夕食はホテルのビュッフェを予約していました。夕方から荒天になって屋外はどんどん風雨が強くなっていたので、予約をしていて良かったなと...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,一休予約で100円引き！コスパいい！ホテルビュッフェは、旅行に行った気分になる！有明で降りたのは、はじめてで、楽しい！イチゴのモンブラン！自分で作る海鮮丼！桜...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,グランドエール、ホテルのビュッフェレストランとしてはコスパがいい場所です。そして美味しい。朝も夜もある、海鮮丼がおすすめ。一面ハイシーリングのガラス窓で、明るく穏やかな空間。テーブルは広め。寛...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,ここ最近、予約時点で既に満席の事が多く（アポ無しでは三回連続入れなかった。）。もう、大人気のレストラン。なので、事前に予約していくことにした。国内外問わず、団体のお客様の行...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,コスパ最高のホテルランチ。お刺身が美味しかったけど、サーモンがちょっと厚切りすぎるかなー。その代わりマグロが薄切りで大きいので食べ応えがあって美味しかった。何気にお味噌汁がめちゃ美味いです。...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,昨年の夏以来、久しぶりに利用させていただきました。早いものでもう5周年！本日も家族で利用しました。スプリングビュッフェで、桜スイーツなどが並んでいました。可愛らしくて子供達も大喜びです...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,東京ガーデンシアターでイベントがあるため予約をして行きました。イベントに来た層はあまりいない印象でした。外国人客が多いからか外国人の店員さんは多かったですが、日本人の方より丁寧に接客してくださる印象で...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,土日祝日のランチ来訪。ここのブッフェは、和洋中あり。個人的には和食が充実している所がとてもお気に入り。その中でも毎回楽しみにしている、海鮮丼コーナー。なんと、この日...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,ヴィラフォンテーヌ有明に宿泊朝いち温泉（ほぼ貸し切り）満喫後、朝食会場へ片面ぜんぶ格子窓で明るいしゆりかもめの行き来が目の前こちらの目玉は海鮮丼でした寿司飯が温かいやっぱり東京の...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,土日祝日ランチ時に来訪。ディナー同様、和食・ソフトドリンク・デザートもランチブッフェのメニューに含まれていた。嬉しい。ライブブッフェは、パスタ一種。今回は鮭のクリームパスタ。...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,土日夜来訪。縦長だが意外と収容力があり、広々とした店内。開放感溢れる、高い天井。メニュー数が豊富で、制覇出来ない程。そしえ、総じて、お料理のクオリティが高い。...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,お正月に宿泊し、朝ごはんにコチラを利用しました。10種類？の厳選した海の幸をトッピングできる勝手丼が人気ですが、お正月はおせち料理やお雑煮、お汁粉もありました。（ライブキッチン）焼き立...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,お正月に家族で新年ランチをしました。お刺身、サラダ、お肉・魚料理、ラーメン、パン、そしてデザートもソフトクリームを含め何種類もあり、全体的に種類は十分あったかと思います。ライブキッチンではパスタの...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,洋食のブッフェのようでラーメンもカレーもあり特に、イカ、マグロ、サーモンなど海鮮が楽しめました酢飯もあったので海鮮丼にしました牛肉を使ったステーキのようなものはなかったです...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,こちらの入っているホテルへ宿泊し、朝食をいただきました。お目当てはもちろん、海鮮ビュッフェで作る『勝手丼』朝からイクラやマグロ、サーモン、いか、ホタテ、まぐろのたたき、コハダ、甘海老、しらす、...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,ひろくてゆったりできる店内！子供にとても優しくて、ビュッフェとは別にお子様メニューがあるし、飲み物もオーガニックのスムージーが選べてとてもいい！エビフライ、からあげ、ハンバーグ、ポテト、カレー...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,生まれて初めてはとバスに乗りました。団体行動が苦手ですが、ちゃんと時間を守ることに徹します。さて、ツアー一発目はのっけからホテルでご飯。他団体客もいたので、食べたいものより...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,もちろん美味しい料理もあったけど、満足感が極めて低いビュッフェだった良く言えば、ファミリー層向けというか万人向けの味付けという感じ個人的にらメインっぽいものが美味しくない上、海鮮丼的な...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,このお値段でこんなに食べれるのは最高ですが、11時30分から14時まででちょっと時間が短いのが残念。もう少しゆっくり食べたかった。料理はどれも美味しかったです。最初に飛びついたの海鮮丼です。デザートは...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,ランチビュッフェ3500円。ハワイアンフェアーということでハワイ料理メインで楽しめます。種類は豊富で全て制覇してもかなり満腹。ただ味についてはどちらかというとチープ。値段には合ってない...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,隣のライブ会場でアーティストのライブがあったので、ゆっくり食事したくて行きました。平日という事もあり、店内はそんなに混雑しておらず、お子様連れのお客さんが多かったです。子ども用の食器も複数種類用意...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),https://tabelog.com/tokyo/A1313/A131306/13251352/,【訪問日時】2024年7月（土曜）、午前11時半頃【訪問人数、予約有無】2人、予約なし※1名未就学児【座席】テーブル【支払い】こうとう商店街DEお買い物券+...
